BN,ventBN,BS,IEnd,I:E ratio,iTime,eTime,inst_RR,TVi,TVe,TVe:TVi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS,x01,TVi1,TVe1,x02,TVi2,TVe2,minF_to_zero
55,8302,210.12,211.14,0.36170212765957444,1.02,2.8200000000000003,15.624999999999998,407.47444444444437,413.37111111111119,1.0144712551843746,39.72,-43.77,17.62,17.62,13.771568627450986,5.562,13.843933333333334,17.198133333333338, ,210.12,2015-06-15 01:30:27.228092000,407.47444444444437,413.37111111111119,2015-06-15 01:30:27.228092000,407.47444444444437,413.37111111111119,16.01094890510949
56,8303,213.96,215.0,0.3939393939393939,1.04,2.64,16.304347826086957,417.95749999999992,403.67777777777786,0.96583451135050313,43.48,-42.29,17.78,17.78,13.969423076923075,5.470000000000001,14.316783333333335,16.050800000000002, ,213.96,2015-06-15 01:30:31.939005000,417.95749999999992,403.67777777777786,2015-06-15 01:30:31.939005000,417.95749999999992,403.67777777777786,16.636718749999996
57,8304,217.64,218.6,0.3529411764705882,0.96,2.72,16.304347826086957,407.87805555555553,401.24666666666678,0.983741736534817,43.22,-40.37,18.66,18.66,13.76083333333333,5.516,13.0077,16.5026, ,217.64,2015-06-15 01:30:36.213762000,407.87805555555553,401.24666666666678,2015-06-15 01:30:36.213762000,407.87805555555553,401.24666666666678,15.30681818181818
58,8305,221.32,222.26,0.3175675675675676,0.9400000000000001,2.96,15.384615384615385,395.2144444444445,398.50111111111113,1.0083161602842901,41.37,-38.8,18.05,18.05,13.716808510638307,5.552,12.691000000000001,17.894466666666666, ,221.32,2015-06-15 01:30:40.479485000,395.2144444444445,398.50111111111113,2015-06-15 01:30:40.479485000,395.2144444444445,398.50111111111113,13.517482517482517
59,8306,225.22,226.22,0.33783783783783783,1.0,2.96,15.151515151515152,413.4591666666667,407.30222222222221,0.985108700106755,41.51,-39.8,17.94,17.94,13.792399999999997,5.534,13.587350000000001,17.903200000000002, ,225.22,2015-06-15 01:30:45.106192000,413.4591666666667,407.30222222222221,2015-06-15 01:30:45.106192000,413.4591666666667,407.30222222222221,13.76206896551724
60,8307,229.18,230.1,0.3172413793103448,0.92,2.9000000000000004,15.706806282722512,398.0822222222223,384.98833333333334,0.9671075768824976,42.62,-40.75,18.89,18.89,13.790434782608699,5.574,12.481133333333334,17.593200000000003, ,229.18,2015-06-15 01:30:49.701460000,398.0822222222223,384.98833333333334,2015-06-15 01:30:49.701460000,398.0822222222223,384.98833333333334,14.55673758865248
61,8308,233.0,233.98,0.3684210526315789,0.98,2.66,16.483516483516482,407.58111111111117,403.68833333333345,0.99044907216832112,42.28,-41.25,18.19,18.19,13.747346938775506,5.5040000000000004,13.2654,16.20116666666667, ,233.0,2015-06-15 01:30:54.413026000,407.58111111111117,403.68833333333345,2015-06-15 01:30:54.413026000,407.58111111111117,403.68833333333345,16.03515625
62,8309,236.64,237.56,0.32394366197183094,0.92,2.8400000000000003,15.957446808510637,397.67583333333334,396.77555555555563,0.9977361516533918,44.4,-42.25,17.72,17.72,13.65695652173913,5.508,12.361833333333335,17.262866666666667, ,236.64,2015-06-15 01:30:58.716486000,397.67583333333334,396.77555555555563,2015-06-15 01:30:58.716486000,397.67583333333334,396.77555555555563,15.507299270072993
63,8310,240.4,241.32,0.304635761589404,0.92,3.02,15.228426395939087,387.14861111111111,396.18055555555554,1.023329399060797,44.43,-40.47,17.95,17.95,13.658478260869567,5.5840000000000005,12.361600000000001,18.244083333333332, ,240.4,2015-06-15 01:31:03.382738000,387.14861111111111,396.18055555555554,2015-06-15 01:31:03.382738000,387.14861111111111,396.18055555555554,13.60544217687075
64,8311,244.34,245.24,0.3061224489795918,0.9,2.9400000000000004,15.624999999999998,398.44,395.36416666666668,0.9922803098751799,46.78,-40.85,19.47,19.47,13.721999999999998,5.414,12.150333333333334,17.79831666666667, ,244.34,2015-06-15 01:31:08.008838000,398.44,395.36416666666668,2015-06-15 01:31:08.008838000,398.44,395.36416666666668,14.52112676056338
65,8312,248.18,249.12,0.33098591549295775,0.9400000000000001,2.8400000000000003,15.873015873015872,392.58888888888885,397.92666666666668,1.0135963546825915,43.23,-39.67,17.83,17.83,13.680212765957448,5.464,12.660666666666666,17.203733333333332, ,248.18,2015-06-15 01:31:12.555230000,392.58888888888885,397.92666666666668,2015-06-15 01:31:12.555230000,392.58888888888885,397.92666666666668,14.686567164179104
66,8313,251.96,252.84,0.2857142857142857,0.88,3.08,15.151515151515152,378.3483333333333,392.96111111111111,1.038622550941446,43.67,-40.68,18.16,18.16,13.647727272727273,5.468,11.808383333333335,18.545333333333343, ,251.96,2015-06-15 01:31:16.935063000,378.3483333333333,392.96111111111111,2015-06-15 01:31:16.935063000,378.3483333333333,392.96111111111111,13.791946308724834
67,8314,255.92,256.82,0.3061224489795918,0.9,2.9400000000000004,15.624999999999998,388.96000000000004,394.28944444444448,1.0137017802458979,44.06,-39.52,17.57,17.57,13.572666666666661,5.564,12.008666666666667,17.829300000000003, ,255.92,2015-06-15 01:31:21.581202000,388.96000000000004,394.28944444444448,2015-06-15 01:31:21.581202000,388.96000000000004,394.28944444444448,13.68661971830986
68,8315,259.76,260.76,0.3597122302158273,1.0,2.7800000000000002,15.873015873015872,400.78333333333336,390.89583333333331,0.97532956293924389,37.85,-41.74,18.15,18.15,13.8076,5.47,13.603500000000002,16.81176666666667, ,259.76,2015-06-15 01:31:26.523822000,400.78333333333336,390.89583333333331,2015-06-15 01:31:26.523822000,400.78333333333336,390.89583333333331,15.433333333333334
69,8316,263.54,264.5,0.3636363636363636,0.96,2.64,16.666666666666668,388.31277777777785,383.03111111111116,0.98639842166180458,40.59,-41.16,17.0,17.0,13.680833333333332,5.574,12.929466666666666,16.097600000000003, ,263.54,2015-06-15 01:31:30.929965000,388.31277777777785,383.03111111111116,2015-06-15 01:31:30.929965000,388.31277777777785,383.03111111111116,16.08267716535433
70,8317,267.14,268.12,0.3202614379084967,0.98,3.06,14.851485148514852,405.47555555555556,412.06555555555559,1.0162525210452473,42.72,-41.97,18.02,18.02,13.817551020408164,5.609999999999999,13.3428,18.474266666666672, ,267.14,2015-06-15 01:31:35.236972000,405.47555555555556,412.06555555555559,2015-06-15 01:31:35.236972000,405.47555555555556,412.06555555555559,14.0
